element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(10^8 s^-1),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Th,1,"=""360.01820""","=""0.00013""","=""230""","=""""","=""""",,"=""1.393796936""","=""4.83664586""","=""5f.6d.7s2""","=""3F*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L3552""",
Th,1,"=""360.043213""","=""0.000022""","=""580""","=""""","=""""",,"=""1.215641081""","=""4.65825156""","=""6d3.(4F).7s""","=""5F""","=""5""","=""""","=""*""","=""5""",11,11,,"=""""","=""L5951""",
Th,2,"=""360.06077""","=""0.00005""","=""87""","=""""","=""""",,"=""2.80726332""","=""6.24970566""","=""5f.6d.(1H*).7s""","=""*""","=""9/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",10,8,,"=""""","=""L5951""",
Th,2,"=""360.08181""","=""0.00004""","=""110""","=""""","=""""",,"=""1.77909747""","=""5.22133930""","=""6d3""","=""4P""","=""1/2""","=""6d2.(1D).7p""","=""*""","=""3/2""",2,4,,"=""""","=""L5951""",
Th,2,"=""360.09769""","=""0.00003""","=""270""","=""""","=""""",,"=""4.08645446""","=""7.52854381""","=""5f.6d.(1D*).7p""","=""""","=""3/2""","=""""","=""*""","=""3/2 or 5/2""",4,4,,"=""""","=""L5951""",
Th,2,"=""360.103425""","=""0.000014""","=""1800""","=""""","=""""",,"=""2.197898491""","=""5.63993280""","=""6d3""","=""2H""","=""11/2""","=""6d2.(3F).7p""","=""2G*""","=""9/2""",12,10,,"=""""","=""L5951""",
Th,1,"=""360.129571""","=""0.000025""","=""420""","=""""","=""""",,"=""1.388254945""","=""4.83003938""","=""5f.6d.7s2""","=""3H*""","=""5""","=""""","=""""","=""4""",11,9,,"=""""","=""L5951""",
Th,1,"=""360.17714""","=""0.00004""","=""210""","=""""","=""""",,"=""1.388254945""","=""4.82958495""","=""5f.6d.7s2""","=""3H*""","=""5""","=""""","=""""","=""5""",11,11,,"=""""","=""L5951""",
Th,2,"=""360.19802""","=""0.00005""","=""64""","=""""","=""""",,"=""1.669939242""","=""5.11106986""","=""5f.6d.(3G*).7s""","=""4G*""","=""9/2""","=""5f.6d.(3H*).7p""","=""""","=""11/2""",10,12,,"=""""","=""L5951""",
Th,2,"=""360.24780""","=""0.00018""","=""94""","=""""","=""""",,"=""1.546352910""","=""4.98700534""","=""5f.6d.(3F*).7s""","=""2F*""","=""5/2""","=""5f.7s.(1F*).7p""","=""""","=""3/2""",6,4,,"=""""","=""L2372""",
Th,2,"=""360.26461""","=""0.00018""","=""23""","=""""","=""""",,"=""2.49458139""","=""5.93507441""","=""5f.(2F*).6d2.(3P)""","=""*""","=""5/2""","=""5f2.6d""","=""""","=""3/2""",6,4,,"=""""","=""L2372""",
Th,1,"=""360.29065""","=""0.00004""","=""120""","=""""","=""""",,"=""1.920524884""","=""5.36077031""","=""5f.6d.7s2""","=""3G*""","=""5""","=""""","=""""","=""6""",11,13,,"=""""","=""L5951""",
Th,2,"=""360.29360""","=""0.00018""","=""120""","=""""","=""""",,"=""1.378280820""","=""4.81850284""","=""5f.6d.(3G*).7s""","=""4G*""","=""7/2""","=""5f.6d.(3H*).7p""","=""""","=""5/2""",8,6,,"=""""","=""L2372""",
Th,2,"=""360.30325""","=""0.00004""","=""160""","=""""","=""""",,"=""1.038846135""","=""4.47897156""","=""5f.7s2""","=""2F*""","=""7/2""","=""5f2.(3F).6d""","=""""","=""9/2""",8,10,,"=""""","=""L5951""",
Th,2,"=""360.320401""","=""0.000017""","=""1200""","=""""","=""""",,"=""1.205163326""","=""4.64512501""","=""5f.6d.(3F*).7s""","=""4F*""","=""7/2""","=""5f.6d.(3F*).7p""","=""""","=""5/2""",8,6,,"=""""","=""L5951""",
Th,2,"=""360.336273""","=""0.000025""","=""420""","=""""","=""""",,"=""1.546352910""","=""4.98616298""","=""5f.6d.(3F*).7s""","=""2F*""","=""5/2""","=""5f.6d.(3H*).7p""","=""""","=""5/2""",6,6,,"=""""","=""L5951""",
Th,2,"=""360.36201""","=""0.00005""","=""88""","=""""","=""""",,"=""1.599690941""","=""5.03925537""","=""5f.6d.(3D*).7s""","=""*""","=""3/2""","=""5f2.(3F).6d""","=""""","=""5/2""",4,6,,"=""""","=""L5951""",
Th,1,"=""360.36953""","=""0.00005""","=""77""","=""""","=""""",,"=""1.728997759""","=""5.16849060""","=""6d.7s2.7p""","=""3F*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L5951""",
Th,2,"=""360.40391""","=""0.00003""","=""320""","=""""","=""""",,"=""2.33299410""","=""5.77215875""","=""5f.(2F*).6d2.(3F)""","=""4I*""","=""13/2""","=""5f.6d.(3G*).7p""","=""""","=""11/2""",14,12,,"=""""","=""L5951""",
Th,1,"=""360.40655""","=""0.00003""","=""250""","=""""","=""""",,"=""0.9301651190""","=""4.36930466""","=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L5951""",
Th,1,"=""360.44763""","=""0.00004""","=""98""","=""""","=""""",,"=""1.761433209""","=""5.20018034""","=""5f.6d.7s2""","=""3F*""","=""4""","=""""","=""""","=""5""",9,11,,"=""""","=""L5951""",
Th,1,"=""360.46567""","=""0.00003""","=""330""","=""""","=""""",,"=""0.6897416420""","=""4.12831753""","=""6d3.(4F).7s""","=""5F""","=""1""","=""""","=""*""","=""2""",3,5,,"=""""","=""L5951""",
Th,1,"=""360.468170""","=""0.000017""","=""1100bl""","=""""","=""""",,"=""0.4792576672""","=""3.91781048""","=""6d2.7s2""","=""3P""","=""1""","=""""","=""*""","=""2""",3,5,,"=""""","=""L5951""",
Th,1,"=""360.49651""","=""0.00013""","=""48""","=""""","=""""",,"=""1.291188428""","=""4.72946861""","=""5f.6d.7s2""","=""1G*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L3552""",
Th,2,"=""360.51170""","=""0.00018""","=""71""","=""""","=""""",,"=""1.548027489""","=""4.98616298""","=""5f.(2F*).6d2.(3F)""","=""*""","=""7/2""","=""5f.6d.(3H*).7p""","=""""","=""5/2""",8,6,,"=""""","=""L2372""",
Th,1,"=""360.519347""","=""0.000021""","=""620""","=""""","=""""",,"=""1.633505867""","=""5.07156937""","=""5f.6d.7s2""","=""3G*""","=""4""","=""""","=""""","=""5""",9,11,,"=""""","=""L5951""",
Th,2,"=""360.54400""","=""0.00018""","=""23""","=""""","=""""",,"=""1.833849400""","=""5.27167327""","=""5f.6d.(3G*).7s""","=""*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",8,8,,"=""""","=""L2372""",
Th,2,"=""360.56537""","=""0.00003""","=""240""","=""""","=""""",,"=""1.345888603""","=""4.78351320""","=""6d3""","=""""","=""7/2""","=""6d2.(3F).7p""","=""*""","=""5/2""",8,6,,"=""""","=""L5951""",
Th,1,"=""360.58222""","=""0.00004""","=""210""","=""""","=""""",,"=""0.6151672932""","=""4.05263141""","=""6d2.7s2""","=""3F""","=""4""","=""5f.6d3""","=""5I*""","=""5""",9,11,,"=""""","=""L5951""",
Th,1,"=""360.609072""","=""0.000022""","=""530""","=""""","=""""",,"=""0.3171586159""","=""3.75436674""","=""6d2.7s2""","=""3P""","=""0""","=""""","=""*""","=""1""",1,3,,"=""""","=""L5951""",
Th,3,"=""360.624794""","=""0.000020""","=""770""","=""""","=""""",,"=""0.06332595""","=""3.50038418""","=""5f.6d""","=""3F*""","=""2""","=""5f2""","=""1D""","=""2""",5,5,,"=""""","=""L5951""",
Th,2,"=""360.65050""","=""0.00018""","=""47""","=""""","=""""",,"=""1.310766078""","=""4.74757772""","=""5f.6d.(3H*).7s""","=""*""","=""9/2""","=""5f.7s.(3F*).7p""","=""""","=""7/2""",10,8,,"=""""","=""L2372""",
Th,1,"=""360.66146""","=""0.00004""","=""110""","=""""","=""""",,"=""1.393796936""","=""4.83050548""","=""5f.6d.7s2""","=""3F*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
Th,2,"=""360.66984""","=""0.00005""","=""76""","=""""","=""""",,"=""2.51546271""","=""5.95209269""","=""5f.(2F*).6d2.(1G)""","=""*""","=""11/2""","=""5f2.6d+5f.6d.7p""","=""""","=""9/2""",12,10,,"=""""","=""L5951""",
Th,2,"=""360.69631""","=""0.00018""","=""47""","=""""","=""""",,"=""1.323300499""","=""4.75967595""","=""5f.6d.(3F*).7s""","=""*""","=""5/2""","=""5f.7s.(3F*).7p""","=""""","=""7/2""",6,8,,"=""""","=""L2372""",
Th,2,"=""360.70090""","=""0.00018""","=""47""","=""""","=""""",,"=""1.79582734""","=""5.23215951""","=""5f.6d.(3H*).7s""","=""2H*""","=""11/2""","=""5f.6d.(3F*).7p""","=""""","=""9/2""",12,10,,"=""""","=""L2372""",
Th,2,"=""360.73931""","=""0.00004""","=""130""","=""""","=""""",,"=""1.88987860""","=""5.32584607""","=""5f.(2F*).6d2.(3F)""","=""4H*""","=""9/2""","=""5f.6d.(3H*).7p""","=""""","=""9/2""",10,10,,"=""""","=""L5951""",
Th,1,"=""360.78190""","=""0.00013""","=""190""","=""""","=""""",,"=""0.902620242""","=""4.33818103""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L3552""",
Th,2,"=""360.79109""","=""0.00004""","=""170""","=""""","=""""",,"=""3.44525339""","=""6.88072729""","=""5f.(2F*).6d2.(1G)""","=""*""","=""9/2""","=""5f2.6d+5f.6d.7p""","=""""","=""9/2""",10,10,,"=""""","=""L5951""",
Th,1,"=""360.82960""","=""0.00004""","=""170""","=""""","=""""",,"=""1.728997759""","=""5.16410526""","=""6d.7s2.7p""","=""3F*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L5951""",
Th,1,"=""360.837771""","=""0.000013""","=""2400""","=""""","=""""",,"=""1.215641081""","=""4.65067064""","=""6d3.(4F).7s""","=""5F""","=""5""","=""""","=""*""","=""6""",11,13,,"=""""","=""L5951""",
Th,1,"=""360.88815""","=""0.00004""","=""150""","=""""","=""""",,"=""1.005636397""","=""4.44018652""","=""6d2.7s2""","=""1G""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L5951""",
Th,2,"=""360.922496""","=""0.000023""","=""480""","=""""","=""""",,"=""1.323300499""","=""4.75752391""","=""5f.6d.(3F*).7s""","=""*""","=""5/2""","=""5f2.(3F).6d""","=""""","=""3/2""",6,4,,"=""""","=""L5951""",
Th,2,"=""360.944500""","=""0.000009""","=""6600""","=""""","=""""",,"=""0.509991558""","=""3.94400549""","=""6d.(2D).7s2""","=""""","=""5/2""","=""6d.7s.(3D).7p""","=""*""","=""5/2""",6,6,,"=""""","=""L5951""",
Th,2,"=""361.00385""","=""0.00003""","=""310""","=""""","=""""",,"=""1.66218584""","=""5.09563478""","=""5f.6d.(3H*).7s""","=""4H*""","=""13/2""","=""5f2.(3H).6d""","=""4I""","=""15/2""",14,16,,"=""""","=""L5951""",
Th,1,"=""361.00587""","=""0.00005""","=""70""","=""""","=""""",,"=""1.305125170""","=""4.73855559""","=""5f.6d.7s2""","=""3G*""","=""3""","=""6d4""","=""""","=""2""",7,5,,"=""""","=""L5951""",
Th,2,"=""361.01259""","=""0.00003""","=""350""","=""""","=""""",,"=""1.188438671""","=""4.62180498""","=""5f.6d.(3G*).7s""","=""4G*""","=""5/2""","=""5f.6d.(3F*).7p""","=""""","=""7/2""",6,8,,"=""""","=""L5951""",
Th,3,"=""361.03180""","=""0.00005""","=""68""","=""""","=""""",,"=""1.33173288""","=""4.76491622""","=""5f.6d""","=""3D*""","=""3""","=""5f.7p""","=""(7/2,1/2)""","=""3""",7,7,,"=""""","=""L5951""",
Th,2,"=""361.039691""","=""0.000022""","=""610""","=""""","=""""",,"=""0.908988342""","=""4.34209700""","=""5f.6d.(3F*).7s""","=""4F*""","=""5/2""","=""5f.7s.(3F*).7p""","=""4D""","=""3/2""",6,4,,"=""""","=""L5951""",
Th,2,"=""361.05620""","=""0.00018""","=""49""","=""""","=""""",,"=""0.770374622""","=""4.20332265""","=""6d2.(3F).7s""","=""4F""","=""9/2""","=""6d2.(1G).7p""","=""*""","=""7/2""",10,8,,"=""""","=""L2372""",
Th,1,"=""361.065118""","=""0.000022""","=""590""","=""""","=""""",,"=""1.622774763""","=""5.05564158""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L5951""",
Th,2,"=""361.07220""","=""0.00004""","=""120""","=""""","=""""",,"=""2.386481359""","=""5.81928034""","=""5f.6d.(3D*).7s""","=""*""","=""5/2""","=""5f2.6d""","=""""","=""3/2""",6,4,,"=""""","=""L5951""",
Th,2,"=""361.079496""","=""0.000023""","=""520""","=""""","=""""",,"=""0.509991558""","=""3.94272148""","=""6d.(2D).7s2""","=""""","=""5/2""","=""5f.(2F*).6d2.(1D)""","=""*""","=""7/2""",6,8,,"=""""","=""L5951""",
Th,1,"=""361.116027""","=""0.000025""","=""410""","=""""","=""""",,"=""0.3557427977""","=""3.78812550""","=""6d2.7s2""","=""3F""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L5951""",
Th,1,"=""361.12570""","=""0.00013""","=""63""","=""""","=""""",,"=""1.648671592""","=""5.08095949""","=""6d3.(2G).7s""","=""3G""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L3552""",
Th,2,"=""361.21130""","=""0.00018""","=""98""","=""""","=""""",,"=""1.803419255""","=""5.23489826""","=""5f.6d.(3D*).7s""","=""4D*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",6,8,,"=""""","=""L2372""",
Th,1,"=""361.242729""","=""0.000007""","=""16000""","=""""","=""""",,"=""0.0000000000""","=""3.43117903""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L5951""",
Th,1,"=""361.286646""","=""0.000009""","=""5400""","=""""","=""""",,"=""0.0000000000""","=""3.430762016""","=""6d2.7s2""","=""3F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L5951""",
Th,1,"=""361.35477""","=""0.00004""","=""110""","=""""","=""""",,"=""1.463377110""","=""4.89349259""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L5951""",
Th,2,"=""361.36156""","=""0.00004""","=""110""","=""""","=""""",,"=""2.93813506""","=""6.36818564""","=""5f.(2F*).6d2.(3P)""","=""*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",8,6,,"=""""","=""L5951""",
Th,2,"=""361.377933""","=""0.000025""","=""410""","=""""","=""""",,"=""0.514110036""","=""3.94400549""","=""6d2.(3F).7s""","=""4F""","=""7/2""","=""6d.7s.(3D).7p""","=""*""","=""5/2""",8,6,,"=""""","=""L5951""",
Th,2,"=""361.39735""","=""0.00004""","=""190""","=""""","=""""",,"=""4.80620438""","=""8.23591547""","=""6d2.(3F).7p""","=""*""","=""7/2""","=""""","=""""","=""7/2""",8,8,,"=""""","=""L5951""",
Th,2,"=""361.400957""","=""0.000021""","=""630""","=""""","=""""",,"=""1.79582734""","=""5.22550412""","=""5f.6d.(3H*).7s""","=""2H*""","=""11/2""","=""5f.6d.(3G*).7p""","=""""","=""11/2""",12,12,,"=""""","=""L5951""",
Th,1,"=""361.421319""","=""0.000014""","=""1800""","=""""","=""""",,"=""1.336940873""","=""4.76642441""","=""6d.7s2.7p""","=""3F*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L5951""",
Th,1,"=""361.435323""","=""0.000016""","=""1300""","=""""","=""""",,"=""1.305125170""","=""4.73447583""","=""5f.6d.7s2""","=""3G*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L5951""",
Th,1,"=""361.50041""","=""0.00005""","=""64""","=""""","=""""",,"=""1.739756853""","=""5.16849060""","=""6d.7s2.7p""","=""3D*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L5951""",
Th,2,"=""361.513257""","=""0.000012""","=""3300""","=""""","=""""",,"=""0.514110036""","=""3.94272148""","=""6d2.(3F).7s""","=""4F""","=""7/2""","=""5f.(2F*).6d2.(1D)""","=""*""","=""7/2""",8,8,,"=""""","=""L5951""",
Th,2,"=""361.53728""","=""0.00004""","=""130""","=""""","=""""",,"=""1.26328328""","=""4.69166667""","=""5f.6d.(3H*).7s""","=""4H*""","=""11/2""","=""5f2.(3F).6d""","=""""","=""9/2""",12,10,,"=""""","=""L5951""",
Th,1,"=""361.585016""","=""0.000025""","=""430""","=""""","=""""",,"=""0.3557427977""","=""3.78367396""","=""6d2.7s2""","=""3F""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L5951""",
Th,1,"=""361.61776""","=""0.00003""","=""350""","=""""","=""""",,"=""0.966490959""","=""4.39411168""","=""5f.6d.7s2""","=""3H*""","=""4""","=""6d4""","=""""","=""3""",9,7,,"=""""","=""L5951""",
Th,2,"=""361.66958""","=""0.00004""","=""140""","=""""","=""""",,"=""1.515083955""","=""4.94221362""","=""6d2.(1D).7s""","=""2D""","=""3/2""","=""6d.7s.(3D).7p""","=""*""","=""5/2""",4,6,,"=""""","=""L5951""",
Th,2,"=""361.701761""","=""0.000021""","=""700""","=""""","=""""",,"=""1.897610931""","=""5.32443567""","=""6d3""","=""2H""","=""9/2""","=""6d2.(3F).7p""","=""*""","=""7/2""",10,8,,"=""""","=""L5951""",
Th,2,"=""361.711712""","=""0.000016""","=""1300""","=""""","=""""",,"=""1.345888603""","=""4.77261890""","=""6d3""","=""""","=""7/2""","=""6d2.(3P).7p""","=""*""","=""5/2""",8,6,,"=""""","=""L5951""",
Th,2,"=""361.76150""","=""0.00018""","=""24""","=""""","=""""",,"=""2.564755353""","=""5.99101566""","=""5f.(2F*).6d2.(3F)""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",6,6,,"=""""","=""L2372""",
Th,1,"=""361.767141""","=""0.000025""","=""420""","=""""","=""""",,"=""1.022076397""","=""4.44828182""","=""5f.6d.7s2""","=""3F*""","=""2""","=""6d4""","=""""","=""2""",5,5,,"=""""","=""L5951""",
Th,2,"=""361.77310""","=""0.00018""","=""200""","=""""","=""""",,"=""1.76994592""","=""5.19609446""","=""5f.(2F*).6d2.(3F)""","=""4I*""","=""9/2""","=""5f.6d.(3F*).7p""","=""""","=""9/2""",10,10,,"=""""","=""L2372""",
Th,1,"=""361.78175""","=""0.00004""","=""99""","=""""","=""""",,"=""1.728997759""","=""5.15506456""","=""6d.7s2.7p""","=""3F*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
Th,1,"=""361.836319""","=""0.000016""","=""1500""","=""""","=""""",,"=""0.9301651190""","=""4.35571542""","=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L5951""",
Th,1,"=""361.85968""","=""0.00004""","=""110""","=""""","=""""",,"=""1.0910919079""","=""4.51642123""","=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L5951""",
Th,1,"=""361.921175""","=""0.000021""","=""660""","=""""","=""""",,"=""1.005636397""","=""4.43038363""","=""6d2.7s2""","=""1G""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L5951""",
Th,2,"=""361.93560""","=""0.00018""","=""100""","=""""","=""""",,"=""1.599690941""","=""5.02430219""","=""5f.6d.(3D*).7s""","=""*""","=""3/2""","=""5f.6d.(3P*).7p""","=""""","=""1/2""",4,2,,"=""""","=""L2372""",
Th,1,"=""361.96331""","=""0.00005""","=""73""","=""""","=""""",,"=""1.739756853""","=""5.16410526""","=""6d.7s2.7p""","=""3D*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L5951""",
Th,2,"=""361.97079""","=""0.00004""","=""110""","=""""","=""""",,"=""1.323300499""","=""4.74757772""","=""5f.6d.(3F*).7s""","=""*""","=""5/2""","=""5f.7s.(3F*).7p""","=""""","=""7/2""",6,8,,"=""""","=""L5951""",
Th,1,"=""362.028414""","=""0.000024""","=""460""","=""""","=""""",,"=""1.633505867""","=""5.05723862""","=""5f.6d.7s2""","=""3G*""","=""4""","=""""","=""""","=""5""",9,11,,"=""""","=""L5951""",
Th,2,"=""362.036967""","=""0.000025""","=""410""","=""""","=""""",,"=""1.558542626""","=""4.98219447""","=""6d3""","=""""","=""7/2""","=""6d2.(3F).7p""","=""*""","=""7/2""",8,8,,"=""""","=""L5951""",
Th,2,"=""362.04988""","=""0.00005""","=""74""","=""""","=""""",,"=""2.05375230""","=""5.47728278""","=""5f.(2F*).6d2.(3F)""","=""4I*""","=""11/2""","=""5f.6d.(3G*).7p""","=""""","=""11/2""",12,12,,"=""""","=""L5951""",
Th,2,"=""362.05691""","=""0.00018""","=""100""","=""""","=""""",,"=""1.378280820""","=""4.80174462""","=""5f.6d.(3G*).7s""","=""4G*""","=""7/2""","=""5f.6d.(1D*).7p""","=""""","=""5/2""",8,6,,"=""""","=""L2372""",
Th,1,"=""362.083854""","=""0.000018""","=""900""","=""""","=""""",,"=""0.966490959""","=""4.38969965""","=""5f.6d.7s2""","=""3H*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L5951""",
Th,1,"=""362.09770""","=""0.00013""","=""12""","=""""","=""""",,"=""1.463377110""","=""4.88645403""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L3552""",
Th,2,"=""362.111859""","=""0.000017""","=""1200""","=""""","=""""",,"=""1.310766078""","=""4.73370993""","=""5f.6d.(3H*).7s""","=""*""","=""9/2""","=""5f.6d.(3H*).7p""","=""""","=""9/2""",10,10,,"=""""","=""L5951""",
Th,2,"=""362.11681""","=""0.00005""","=""71""","=""""","=""""",,"=""2.35244862""","=""5.77534529""","=""5f.6d.(1F*).7s""","=""*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",8,6,,"=""""","=""L5951""",
Th,1,"=""362.14350""","=""0.00013""","=""130""","=""""","=""""",,"=""0.7888365657""","=""4.21148155""","=""6d3.(4F).7s""","=""5F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L3552""",
Th,1,"=""362.228778""","=""0.000020""","=""800""","=""""","=""""",,"=""1.336940873""","=""4.75877985""","=""6d.7s2.7p""","=""3F*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L5951""",
Th,1,"=""362.233564""","=""0.000020""","=""820bl""","=""""","=""""",,"=""0.6897416420""","=""4.11153661""","=""6d3.(4F).7s""","=""5F""","=""1""","=""""","=""*""","=""1""",3,3,,"=""""","=""L5951""",
Th,2,"=""362.27068""","=""0.00004""","=""97""","=""""","=""""",,"=""1.957336792""","=""5.37878028""","=""6d3""","=""4P""","=""5/2""","=""6d2.(3P).7p""","=""*""","=""5/2""",6,6,,"=""""","=""L5951""",
Th,1,"=""362.279528""","=""0.000012""","=""2800""","=""""","=""""",,"=""0.4572521355""","=""3.87861182""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L5951""",
Th,2,"=""362.30341""","=""0.00018""","=""200""","=""""","=""""",,"=""1.310766078""","=""4.73190110""","=""5f.6d.(3H*).7s""","=""*""","=""9/2""","=""5f.7s.(1F*).7p""","=""""","=""7/2""",10,8,,"=""""","=""L2372""",
Th,1,"=""362.377238""","=""0.000022""","=""540""","=""""","=""""",,"=""1.022076397""","=""4.44251365""","=""5f.6d.7s2""","=""3F*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L5951""",
Th,2,"=""362.38465""","=""0.00004""","=""120""","=""""","=""""",,"=""3.94272148""","=""7.3630890""","=""5f.(2F*).6d2.(1D)""","=""*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",8,8,,"=""""","=""L5951""",
Th,2,"=""362.39685""","=""0.00003""","=""310""","=""""","=""""",,"=""2.464815692""","=""5.88506772""","=""6d3""","=""2G""","=""9/2""","=""6d2.(1G).7p""","=""2H*""","=""11/2""",10,12,,"=""""","=""L5951""",
Th,2,"=""362.40155""","=""0.00005""","=""64""","=""""","=""""",,"=""2.258301050""","=""5.67850907""","=""5f.(2F*).6d2.(3F)""","=""*""","=""3/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",4,6,,"=""""","=""L5951""",
Th,1,"=""362.447183""","=""0.000018""","=""1000""","=""""","=""""",,"=""1.0910919079""","=""4.51086908""","=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L5951""",
Th,2,"=""362.47722""","=""0.00005""","=""65""","=""""","=""""",,"=""3.09742852""","=""6.51692167""","=""5f.(2F*).6d2.(1G)""","=""*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",8,8,,"=""""","=""L5951""",
Th,2,"=""362.489516""","=""0.000014""","=""1800""","=""""","=""""",,"=""0.830717224""","=""4.25009510""","=""5f.6d.(3H*).7s""","=""*""","=""9/2""","=""5f2.(1G).7s""","=""""","=""7/2""",10,8,,"=""""","=""L5951""",
Th,1,"=""362.502916""","=""0.000017""","=""1200""","=""""","=""""",,"=""1.291188428""","=""4.71043969""","=""5f.6d.7s2""","=""1G*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L5951""",
Th,1,"=""362.51494""","=""0.00003""","=""390""","=""""","=""""",,"=""1.592945153""","=""5.01208339""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L5951""",
Th,2,"=""362.55360""","=""0.00018""","=""130""","=""""","=""""",,"=""1.435290843""","=""4.85406560""","=""5f.6d.(1D*).7s""","=""2D*""","=""3/2""","=""5f.6d.(3F*).7p""","=""""","=""3/2""",4,4,,"=""""","=""L2372""",
Th,2,"=""362.562786""","=""0.000012""","=""3200""","=""""","=""""",,"=""0.188691095""","=""3.60737787""","=""6d2.(3F).7s""","=""4F""","=""5/2""","=""5f.(2F*).6d2.(1D)""","=""*""","=""5/2""",6,6,,"=""""","=""L5951""",
Th,1,"=""362.589314""","=""0.000016""","=""1400""","=""""","=""""",,"=""0.902620242""","=""4.32105690""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""2""",5,5,,"=""""","=""L5951""",
Th,2,"=""362.593110""","=""0.000022""","=""530""","=""""","=""""",,"=""1.145368548""","=""4.56376921""","=""5f.6d.(1G*).7s""","=""*""","=""9/2""","=""5f.6d.(1G*).7p""","=""""","=""7/2""",10,8,,"=""""","=""L5951""",
Th,1,"=""362.60250""","=""0.00013""","=""130""","=""""","=""""",,"=""1.305125170""","=""4.72343755""","=""5f.6d.7s2""","=""3G*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L3552""",
Th,2,"=""362.60901""","=""0.00004""","=""160""","=""""","=""""",,"=""0.830717224""","=""4.24896819""","=""5f.6d.(3H*).7s""","=""*""","=""9/2""","=""5f2.(3H).6d""","=""""","=""9/2""",10,10,,"=""""","=""L5951""",
Th,1,"=""362.65646""","=""0.00003""","=""340""","=""""","=""""",,"=""1.388254945""","=""4.80605854""","=""5f.6d.7s2""","=""3H*""","=""5""","=""""","=""""","=""5""",11,11,,"=""""","=""L5951""",
Th,1,"=""362.66117""","=""0.00004""","=""120""","=""""","=""""",,"=""1.501989980""","=""4.91974984""","=""5f.6d.7s2""","=""1D*""","=""2""","=""""","=""""","=""2""",5,5,,"=""""","=""L5951""",
