element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(10^8 s^-1),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Th,2,"=""385.02827""","=""0.00004""","=""230*""","=""""","=""""",,"=""2.51546271""","=""5.73468191""","=""5f.(2F*).6d2.(1G)""","=""*""","=""11/2""","=""5f2.6d+5f.6d.7p""","=""""","=""9/2""",12,10,,"=""""","=""L5951""",
Th,2,"=""385.07680""","=""0.00021""","=""32""","=""""","=""""",,"=""1.599690941""","=""4.81850284""","=""5f.6d.(3D*).7s""","=""*""","=""3/2""","=""5f.6d.(3H*).7p""","=""""","=""5/2""",4,6,,"=""""","=""L2372""",
Th,1,"=""385.10745""","=""0.00003""","=""260""","=""""","=""""",,"=""1.936507287""","=""5.15506456""","=""5f.6d2.7s""","=""5H*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
Th,1,"=""385.11582""","=""0.00003""","=""480""","=""""","=""""",,"=""1.305125170""","=""4.52361259""","=""5f.6d.7s2""","=""3G*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
Th,1,"=""385.213511""","=""0.000012""","=""3500""","=""""","=""""",,"=""0.4572521355""","=""3.67492346""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L5951""",
Th,2,"=""385.29589""","=""0.00004""","=""160""","=""""","=""""",,"=""1.378280820""","=""4.59526435""","=""5f.6d.(3G*).7s""","=""4G*""","=""7/2""","=""5f.6d.(3H*).7p""","=""""","=""9/2""",8,10,,"=""""","=""L5951""",
Th,2,"=""385.30831""","=""0.00021""","=""32""","=""""","=""""",,"=""1.66218584""","=""4.87906219""","=""5f.6d.(3H*).7s""","=""4H*""","=""13/2""","=""5f.6d.(1G*).7p""","=""""","=""11/2""",14,12,,"=""""","=""L2372""",
Th,2,"=""385.34370""","=""0.00021""","=""16""","=""""","=""""",,"=""3.033123450""","=""6.24970566""","=""5f.(2F*).6d2.(3F)""","=""4P*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",6,8,,"=""""","=""L2372""",
Th,1,"=""385.37873""","=""0.00004""","=""120""","=""""","=""""",,"=""1.766030147""","=""4.98232201""","=""5f.6d.7s2""","=""3P*""","=""1""","=""""","=""""","=""2""",3,5,,"=""""","=""L5951""",
Th,1,"=""385.38275""","=""0.00004""","=""250""","=""""","=""""",,"=""1.592945153""","=""4.80920361""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L5951""",
Th,1,"=""385.39859""","=""0.00006""","=""72""","=""""","=""""",,"=""2.026726250""","=""5.24285184""","=""5f.6d2.7s""","=""5H*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L5951""",
Th,1,"=""385.41285""","=""0.00006""","=""80""","=""""","=""""",,"=""1.936507287""","=""5.15251472""","=""5f.6d2.7s""","=""5H*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L5951""",
Th,2,"=""385.43229""","=""0.00006""","=""79""","=""""","=""""",,"=""2.87482347""","=""6.09066891""","=""5f.(2F*).6d2.(1G)""","=""*""","=""13/2""","=""5f2.(1I).6d""","=""""","=""11/2""",14,12,,"=""""","=""L5951""",
Th,2,"=""385.451069""","=""0.000015""","=""2200""","=""""","=""""",,"=""1.26328328""","=""4.47897156""","=""5f.6d.(3H*).7s""","=""4H*""","=""11/2""","=""5f2.(3F).6d""","=""""","=""9/2""",12,10,,"=""""","=""L5951""",
Th,2,"=""385.48773""","=""0.00004""","=""170""","=""""","=""""",,"=""1.599690941""","=""4.81507387""","=""5f.6d.(3D*).7s""","=""*""","=""3/2""","=""5f.6d.(3D*).7p""","=""""","=""3/2""",4,4,,"=""""","=""L5951""",
Th,2,"=""385.49201""","=""0.00021""","=""47""","=""""","=""""",,"=""2.59982638""","=""5.81517343""","=""5f.(2F*).6d2.(3P)""","=""*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",8,6,,"=""""","=""L2372""",
Th,1,"=""385.50652""","=""0.00004""","=""110""","=""""","=""""",,"=""1.739756853""","=""4.95498248""","=""6d.7s2.7p""","=""3D*""","=""2""","=""""","=""""","=""2""",5,5,,"=""""","=""L5951""",
Th,2,"=""385.60600""","=""0.00021""","=""31""","=""""","=""""",,"=""3.50178652""","=""6.7161834""","=""6d.7s.(3D).7p""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",6,8,,"=""""","=""L2372""",
Th,2,"=""385.61122""","=""0.00006""","=""77""","=""""","=""""",,"=""1.123433659""","=""4.33778656""","=""6d2.(3P).7s""","=""4P""","=""5/2""","=""6d.7s.(3D).7p""","=""*""","=""3/2""",6,4,,"=""""","=""L5951""",
Th,2,"=""385.61894""","=""0.00006""","=""86""","=""""","=""""",,"=""2.35244862""","=""5.56673818""","=""5f.6d.(1F*).7s""","=""*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",8,8,,"=""""","=""L5951""",
Th,1,"=""385.62234""","=""0.00004""","=""110""","=""""","=""""",,"=""0.9301651190""","=""4.14442487""","=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L5951""",
Th,1,"=""385.635424""","=""0.000022""","=""810""","=""""","=""""",,"=""1.022076397""","=""4.23622737""","=""5f.6d.7s2""","=""3F*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L5951""",
Th,1,"=""385.65174""","=""0.00003""","=""350""","=""""","=""""",,"=""0.7888365657""","=""4.00285184""","=""6d3.(4F).7s""","=""5F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L5951""",
Th,1,"=""385.66240""","=""0.00003""","=""500""","=""""","=""""",,"=""1.291188428""","=""4.50511497""","=""5f.6d.7s2""","=""1G*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L5951""",
Th,1,"=""385.67486""","=""0.00013""","=""87""","=""""","=""""",,"=""1.633505867""","=""4.84732324""","=""5f.6d.7s2""","=""3G*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L12239""",
Th,2,"=""385.73470""","=""0.00021""","=""160""","=""""","=""""",,"=""1.546352910""","=""4.75967595""","=""5f.6d.(3F*).7s""","=""2F*""","=""5/2""","=""5f.7s.(3F*).7p""","=""""","=""7/2""",6,8,,"=""""","=""L2372""",
Th,2,"=""385.75087""","=""0.00003""","=""310""","=""""","=""""",,"=""3.31809902""","=""6.53128814""","=""5f2.(3F).7s""","=""""","=""3/2""","=""5f2.7p ""","=""*""","=""5/2""",4,6,,"=""""","=""L5951""",
