#                                             Damping parameters   Lande
# Elm Ion      WL_air(nm) Excit(eV) log gf*   Rad.  Stark    Waals  factor  References
'Th 3',      353.183391,    1.916, -1.410, 0.000, 0.000, 0.000,  1.160,'   2 wl:BPQZS   2 BPQZS   2 gf:BPQZS   2 BPQZS   2 BPQZS   2 BPQZS   2 BPQZS    Th+2'
'Th 2',      353.192800,    2.246,  0.344, 0.000, 0.000, 0.000,  1.020,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      353.716000,    1.141, -0.597, 0.000, 0.000, 0.000,  0.740,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 3',      353.866245,    2.357,  0.160, 0.000, 0.000, 0.000,  0.750,'   2 wl:BPQZS   2 BPQZS   2 gf:BPQZS   2 BPQZS   2 BPQZS   2 BPQZS   2 BPQZS    Th+2'
'Th 3',      353.870216,    1.262, -0.440, 0.000, 0.000, 0.000,  1.150,'   2 wl:BPQZS   2 BPQZS   2 gf:BPQZS   2 BPQZS   2 BPQZS   2 BPQZS   2 BPQZS    Th+2'
'Th 3',      353.903038,    1.916, -1.970, 0.000, 0.000, 0.000,  1.040,'   2 wl:BPQZS   2 BPQZS   2 gf:BPQZS   2 BPQZS   2 BPQZS   2 BPQZS   2 BPQZS    Th+2'
'Th 2',      353.932200,    0.557, -0.945, 0.000, 0.000, 0.000,  0.960,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      353.958700,    0.000, -0.542, 0.000, 0.000, 0.000,  1.130,'   3 wl:NZL   3 NZL   3 gf:NZL   3 NZL   3 NZL   3 NZL   3 NZL    Th+'
'Th 2',      354.161600,    1.049, -0.845, 0.000, 0.000, 0.000,  1.110,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 1',      354.249800,    0.789, -0.537, 0.000, 0.000, 0.000,  1.330,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 1',      354.401800,    1.091,  0.171, 0.000, 0.000, 0.000,  0.790,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 2',      354.499400,    1.166, -1.033, 0.000, 0.000, 0.000,  0.860,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      354.518100,    1.643, -0.009, 0.000, 0.000, 0.000,  1.320,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
